Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,VUDays,VTDays,TotalVacDays,Program,HousingServiceCentre,LocalGovtAuthority,StateElectorate
4131,4,Detached House,Apr-21,Apr-21,Apr-21,8,0,8,Public Housing,LOGAN ,Logan,Waterford
4610,3,Detached House,Mar-21,Mar-21,Mar-21,8,1,9,Public Housing,MARYBOROUGH ,South Burnett,Nanango
4812,4,Detached House,Nov-20,Nov-20,Nov-20,9,1,10,Public Housing,TOWNSVILLE ,Townsville,Townsville
4551,4,Detached House,Mar-21,Mar-21,Mar-21,10,0,10,Public Housing,MAROOCHYDORE ,Sunshine Coast,Caloundra
4670,4,Detached House,Apr-21,May-21,May-21,11,0,11,Public Housing,BUNDABERG ,Bundaberg,Burnett
4615,3,Detached House,Dec-20,Dec-20,Dec-20,12,3,15,Public Housing,MARYBOROUGH ,South Burnett,Nanango
4655,4,Detached House,Feb-21,Feb-21,Feb-21,15,1,16,Public Housing,MARYBOROUGH ,Fraser Coast,Hervey Bay
4814,2,Apartment,Jan-21,Feb-21,Feb-21,16,0,16,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4114,3,Detached House,May-21,Jun-21,Jun-21,23,0,23,Public Housing,LOGAN ,Logan,Woodridge
4558,3,Duplex,Sep-20,Sep-20,Sep-20,0,0,0,Public Housing,MAROOCHYDORE ,Sunshine Coast,Maroochydore
4401,4,Detached House,Oct-20,Oct-20,Oct-20,0,0,0,Public Housing,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Condamine
4700,2,Townhouse,Dec-20,Dec-20,Dec-20,0,0,0,Public Housing,ROCKHAMPTON ,Rockhampton,Rockhampton
4102,4,Detached House,Jun-21,Jun-21,Jun-21,0,0,0,Public Housing,FORTITUDE VALLEY ,Brisbane,South Brisbane
4303,2,Apartment,Sep-20,Sep-20,Sep-20,0,1,1,Public Housing,IPSWICH ,Ipswich,Bundamba
4700,2,Townhouse,Dec-20,Dec-20,Dec-20,0,1,1,Public Housing,ROCKHAMPTON ,Rockhampton,Rockhampton
4702,4,Detached House,Dec-20,Dec-20,Dec-20,0,1,1,Public Housing,ROCKHAMPTON ,Rockhampton,Rockhampton
4655,2,Apartment,May-21,May-21,May-21,0,4,4,Public Housing,MARYBOROUGH ,Fraser Coast,Hervey Bay
4560,3,Townhouse,Feb-21,Feb-21,Feb-21,0,5,5,Public Housing,MAROOCHYDORE ,Sunshine Coast,Nicklin
